group_name,subgenre,country,cat_front_gender,num_bpm_pref,num_growl_tolerance,num_blastbeat_tolerance,num_distortion_preference,num_tempo_variability,num_aggressivity_score,num_speed_score,num_heaviness_score,num_chain_listen_hours,num_riff_complexity_score,num_time_signature_complexity,num_song_length_avg,num_nb_bands_known,num_nb_subgenres_known,num_nb_albums_per_month,num_reading_hours_music,num_research_hours_music,num_youtube_gear_hours,num_theory_level,num_concerts_per_year,num_festivals_per_year,num_mosh_participation,num_crowdsurf_count,num_bruises_after_concert,num_decibels_tolerance,num_travel_for_festival_km,num_money_spent_concerts,num_nb_tour_merch_items,num_hearing_loss_risk_score,num_streaming_hours,num_social_media_hours,num_music_discovery_hours,num_spotify_discover_like_rate,num_yt_comment_rate,num_instagram_posts_music,num_discord_server_activity,num_playlist_creation_rate,num_audio_gear_spending,num_nb_headphones_owned,num_noise_var01,num_noise_var02,num_noise_var03,num_noise_var04,num_noise_var05,num_noise_var06,num_noise_var07,num_noise_var08,num_noise_var09,num_noise_var10,cat_subgenre_main,cat_subgenre_secondary,cat_favorite_band,cat_favorite_label,cat_favorite_instrument,cat_vocal_preference,cat_drumming_style,cat_guitar_style,cat_production_preference ,cat_music_platform,cat_clothing_style,cat_shoes,cat_festival_type,cat_mosh_preference ,cat_hair_length,cat_music_consumption_device,cat_listening_context,cat_record_collection_size,cat_tv_shows_pref,cat_social_presence,cat_fav_color,cat_spiritual_theme_pref,cat_lyric_style,cat_merch_preference,cat_art_style,cat_gig_pref,cat_social_metal_subculture,cat_spotify_usage,cat_favorite_era,cat_main_activity_at_concert,Unnamed: 83,cat_intensity_profile,cat_technicite_profile,cat_live_engagement,cat_digital_profile,cat_segment_label,cat_noise_var01,cat_noise_var02,cat_noise_var03,cat_noise_var04,cat_noise_var05,cat_noise_var06,cat_noise_var07,cat_noise_var08,cat_noise_var09,cat_noise_var10
Battle Beast,heavy metal,finland,female,112.7672190383577,5.033644983968311,5.560295285288355,7.083685903526517,5.89252009157335,6.493198658711954,5.859790250051275,8.582001626648616,6.15871420224844,6.490522791870348,7.099444419504125,4.508253267205029,107.2274247773448,6.136301518790595,2.76444617727383,4.3320021793805426,4.707230571552558,4.403609238351137,8.224916891610327,11.0,1.0,5.1177248218733284,0.0,3.014450729587721,6.410658643086576,563.3361716116992,744.5721940003243,3.0,5.178094178787273,10.0,8.974226093612664,7.2097274359570465,7.330894141520592,5.451622657597596,4.013549948711799,6.435482770780283,5.928887576041827,1065.8768719482744,6.61475475384295,0.46114639135983565,0.6589105844808723,-0.9933271267246865,0.025674453657999224,-0.9661853720724374,0.46444995749542084,-0.45572501084051054,-1.1452279708867228,1.9143254086037818,0.1180097531291236,heavy metal,nu metal,Rise of the Northstar,underground,vocals,scream,groove,melodic,polished,youtube,band_tshirt,vans,both,full,short,bluetooth_speaker,commute,small,sci_fi,content_creator,blue,other,storytelling,tshirts,cyberpunk,festival,open_minded,playlists,modern,film,,high,high,intense,hyperactive,D,X,Y,W,X,Z,Y,X,X,Y,Y
Behemoth,blackened death metal,poland,male,149.99575820227543,7.296025284614948,8.328624758900846,8.154679565784237,7.015454539234927,7.910975287324976,9.535653438498827,7.32167426362529,5.0064556855698745,7.31860711865108,8.458736350510849,4.388660392179464,94.22576752398727,4.061739034969853,2.3636415688326418,4.857823817809701,6.556323870193264,4.055746167029184,7.654536218539183,5.0,2.0,7.06949170232032,4.0,3.3753872728053924,4.688533733901649,669.0669064833859,707.0943720388542,1.0,3.1029495717333306,6.717298224006365,5.559752702542268,2.894561385753728,4.588586692912932,1.892130269543378,0.0,1.7516182687380364,4.511527286814698,397.8507698680248,2.1908614163287146,0.3202916840072248,2.2011031387545934,0.39203039805752304,-0.21669325405592046,-1.469857516107135,1.017021806418191,-0.13891181270510022,-1.8717014863994363,-0.2532287026174467,-1.9727042241938353,blackened death metal,atmospheric black metal,Vexed,underground,drums,scream,blast,atmospheric,raw,physical,all_black,vans,indoor,light,shaved,speakers,home,large,art_films,active,black,occult,philosophical,patches,occult,small_venue,elitist,albums,old_school,drink,,high,mid,intense,casual,B,Y,W,Z,W,X,X,Y,Z,W,Y
Bleed From Within,metalcore,scotland,male,144.82603339767235,6.6426083234732545,5.119396415058455,6.215068359225003,6.296015665427414,7.487596521377616,6.542386106700599,5.890882009180748,4.819982837834257,6.513972093876344,5.799718922446714,4.859361623674709,100.11484634546669,7.16802234719053,4.8008354731190765,5.144195854285775,5.9532403989938105,4.556790662082214,8.345749721249787,6.0,1.0,7.417130096470903,3.0,4.213689076154386,7.53138204995534,797.3908468941013,817.4354373625521,3.0,5.445285231775016,10.0,10.0,6.822501214187461,9.119674628752655,5.062780934968132,4.93123926356431,5.477331310302435,5.482758350665339,1144.7509596203197,6.30568838292033,-0.18822252129193043,0.24872226031901956,2.2726589908933312,0.5760695035613909,0.2238927070680576,0.9910666908314999,0.848406448962838,-1.2512806335226867,1.168003385326591,-0.04074635781719302,metalcore,nu metal,Bleed From Within,indie,vocals,mixed,technical,riff_based,polished,spotify,streetwear,sneakers,indoor,light,medium,speakers,commute,small,metal_docs,active,black,other,storytelling,hoodies,modern,festival,open_minded,random,2000s,mosh,,high,high,intense,hyperactive,D,W,Z,Z,Z,Z,Z,Y,X,Y,Y
Blister Agent,metalcore,usa,male,166.2415084959161,4.748174692294418,5.28059749165853,5.3246076234848525,3.830317602704856,4.83654118391206,3.679180000930283,5.0938381470451235,2.4780105664710406,7.0674262435026485,7.753012885764546,2.6483311311255937,98.22861733029197,6.258963103728182,4.365014658328564,2.162447446718453,5.179737743587777,3.8858178272071497,8.522583933633982,6.0,0.0,7.773078717523582,2.0,4.49709396946829,5.1417635445746,865.4019286782172,667.9913109800849,3.0,2.9208168043377842,9.691429463934202,8.227105641709775,6.437629325349464,8.744056138110048,4.967358355612169,5.0496186191886885,3.014918913803114,5.315543816837553,1015.3480846041668,5.681657688367844,-0.7162191151112647,-0.3970307995787248,0.20535568225145748,1.6739744952710462,1.613440960225359,-0.8428122722176108,0.5541614850821731,0.11195924144437792,-1.2670884031299756,0.8679799343482604,metalcore,metalcore,Blister Agent,major,drums,scream,groove,riff_based,polished,spotify,streetwear,vans,none,light,short,headphones,commute,none,sci_fi,active,blue,other,storytelling,posters,modern,festival,casual,albums,modern,mosh,,mid,mid,intense,active,D,Z,X,X,X,W,X,X,W,X,X
Bloodboil,brutal death metal,netherlands,male,195.7267390042614,10.0,7.973287294711281,8.111334187528128,6.65182011529328,9.069810315055774,7.734842489432351,8.881917496259227,3.0978361971156114,8.648321384322792,8.790279009564294,3.739943292138792,105.17881520494018,6.085292673105597,5.268153467685691,6.416213262133105,7.57675431294936,4.8958760066943965,7.329536910328079,8.0,3.0,8.262602173257537,2.0,5.097776778484808,6.551129865946704,893.8389110469876,760.3472552613574,2.0,6.270690504551658,9.648805617003449,8.606482316738859,4.853277307644956,7.082797772398267,3.37928788585242,1.0050221249465514,2.729541945696702,5.334668367524138,578.615977311244,4.891178750319707,0.288838351659376,-0.6118048834597958,-0.7756094792616043,0.4337691222144516,0.2031664767410382,0.9984679046229995,-0.7486823085286762,0.9802337687226637,-1.0280092978965083,0.45122938552183306,brutal death metal,brutal death metal,Genghis Tron,major,vocals,growl,blast,melodic,modern,youtube,hoodie_black,vans,none,full,shaved,headphones,commute,large,horror,active,black,occult,abstract,patches,cyberpunk,festival,experimental,playlists,modern,mosh,,extreme,high,intense,active,A,W,Z,X,Z,W,X,W,Y,W,W
Brand of Sacrifice,deathcore,canada,male,197.96685122912777,8.498349408943408,6.3710695324468345,6.180991443424052,6.465157017010796,8.079710389124264,6.632659022029034,7.732692899047366,3.500093050489917,8.201072647795396,5.550364931238905,4.18645908936713,102.64221349892819,6.492642698283383,3.9039189128332437,2.0499552650587165,5.305970516303235,3.5586046162635414,6.745990185343891,7.0,2.0,7.725038091407044,4.0,5.747013904481773,9.21154755037209,1149.618779716215,782.7549779328948,4.0,6.6820685741613435,9.976681324633729,7.195742492338413,4.635268363113165,6.023298309034213,2.0700412288668986,0.5937884056194684,2.743142286187492,4.938561121672737,812.6292268533782,3.7785005432092023,-0.33312476588364065,-1.846996177190627,0.4103687026715378,0.4545318718688109,-1.382761606092826,-0.044085137107797066,0.13669920332721244,-0.5603514924222011,0.72166195980949,2.229795115194971,deathcore,deathcore,Nostromo,underground,guitar,scream,technical,riff_based,polished,bandcamp,band_tshirt,boots,both,light,medium,speakers,work,large,none,active,black,gore,political,hoodies,brutal,arena,casual,playlists,modern,mosh,,high,mid,extreme,active,A,Z,W,X,Y,Z,X,Y,W,Y,Y
Brujeria,death metal,usa,male,201.3382624506619,10.0,10.0,7.818198905539332,7.666988683705078,10.0,9.621154582491817,10.0,4.896238847857809,7.472324233219644,8.91809667660472,4.080393079567707,135.48922436575359,6.233658537273789,5.481692568319902,4.596945971661726,5.850362607732113,4.285376472354556,7.6459554847786,6.0,0.0,9.687149623205356,6.0,4.531357793621164,9.180923156446942,868.6393167977307,777.5612134684183,3.0,5.121371175149895,7.780253166570724,7.048534413926954,4.351070700162055,3.547877322238472,1.6981901858009518,0.0,2.208488110383463,3.4084023172456046,494.8141811690402,2.9096301513508065,1.6898226204410154,-0.27859577280620446,-0.4700087190153476,0.05139785431709231,0.22511672703840255,-0.32459689589701496,1.4904416141005241,1.5705436007190146,1.0837307806073746,1.251109482312179,death metal,death metal,Brujeria,underground,guitar,pig_squeal,ambient,melodic,modern,spotify,battle_jacket,boots,outdoor,light,long,amp_stack,gym,large,metal_docs,active,black,gore,abstract,tshirts,minimalist,arena,elitist,discover_weekly,old_school,mosh,,extreme,high,intense,casual,A,W,X,Y,Z,Y,Y,X,Z,W,Y
Brutal Abyss,death metal,brazil,male,204.91529198401537,9.498008422774964,9.928025226682474,9.734979933225452,8.430485093984075,9.609911430706301,9.412530199459486,9.325110280002278,4.486640171463794,7.147792035792797,7.143348766450963,5.026591607610765,80.69969900768632,5.895052138931829,5.356117113038475,5.384916120802676,4.7386495534091075,3.879138670534604,6.7488829715622005,8.0,1.0,7.609080331668555,5.0,4.736950609487004,6.006925846552093,801.5045222903492,684.7168888092806,1.0,6.656840720835585,6.410851682662112,5.169448045629977,4.352118176323044,5.163959804214553,1.0125583837650431,1.7089064116934274,0.833711513057263,2.9905076262935313,491.8234767399298,1.399362681007667,1.3421822947732187,1.1445933388273806,-1.3941158437534145,-0.3278910626312124,-0.053342962246727924,-0.7085114868189184,-0.8313656987973053,-0.7175004222282269,-0.9573927260743923,1.4489340247508535,death metal,deathcore,Brutal Abyss,underground,drums,growl,blast,riff_based,raw,youtube,band_tshirt,sneakers,both,full,long,headphones,home,small,horror,lurker,black,gore,gore,hoodies,vintage,festival,casual,playlists,old_school,listen,,extreme,mid,intense,casual,A,Y,Z,Y,X,W,X,Z,Y,Y,W
Brutal Sphincter,brutal death metal,belgium,male,198.9629309791079,9.662253579609258,7.6504613698058135,7.483676265424328,7.037642194050833,8.85518114086727,7.927606203558118,8.616472643001634,4.330007402040987,6.209684211941062,7.674639800701341,4.21801508422615,107.21741119432991,7.3051554537302135,5.182846591573033,4.677989683293388,6.156040809324902,4.260417914652775,6.748465675632875,8.0,5.0,9.455944046277475,4.0,4.958192084242089,7.850427358926297,924.6794019596628,804.6939120855245,8.0,5.851849926014094,8.136410178029859,5.467843059269374,5.02883147581679,6.578158476949206,2.3662060273996106,2.7499824286093206,2.1271327407207057,5.470904867663709,578.1351139745224,3.7175359527204153,0.6328391323516083,0.5988341726560692,0.7010360268721068,-0.1621345066439178,0.8640436260742304,-0.559935794361552,0.1451667803970126,-0.2380117228798793,0.02407740648391172,2.8000859359143266,brutal death metal,brutal death metal,Brutal Sphincter,underground,guitar,growl,blast,riff_based,raw,youtube,hoodie_black,boots,outdoor,light,short,speakers,commute,none,metal_docs,active,black,gore,gore,patches,cyberpunk,small_venue,elitist,random,old_school,drink,,high,high,extreme,active,A,Z,X,W,Z,W,Y,Y,W,Y,Z
Burning Witches,power metal,switzerland,female,165.30378834354096,7.287134830554764,6.609376731951837,4.840373657612909,4.518768881839198,4.153559140551526,5.9778998484132515,4.669570733496166,5.24814469818873,10.0,10.0,4.1219275367176405,113.66641664242465,6.225033465106841,5.302587418026103,4.911605715931946,7.401922183752546,5.611239950230916,7.6412697496302995,8.0,0.0,5.3530128866943505,2.0,4.928189514881643,7.034570333636834,758.7339387603321,794.0632439448468,2.0,6.3976049312716325,8.373050017473384,7.215606508267198,5.588829968841288,6.435451521762767,3.1315102505244043,1.2422472272525413,1.5148286327482334,5.419328341708551,651.0002233456688,3.5317925416567815,0.3784669392929856,0.020308006560405812,1.1178344005497223,0.13542598524553,0.6067331774117265,1.7423138461962333,-0.19316067693862857,-1.079576720337252,-1.3815791735290779,0.7581562617745978,power metal,power metal,Burning Witches,underground,bass,clean,technical,melodic,polished,spotify,band_tshirt,sneakers,both,none,medium,headphones,home,medium,metal_docs,content_creator,other,philosophical,philosophical,vinyls,abstract,festival,experimental,albums,modern,listen,,mid,high,intense,active,C,Z,Z,W,X,Y,X,Y,W,Y,X
Cabal,metalcore,ecuador,male,156.38189987651162,5.395270670394517,5.924767768476187,6.788477040507264,5.384179066180518,6.611094951143159,7.205295551238633,7.3157374680897425,4.812096788800704,5.862052168689587,6.296678320571738,2.9946658064972094,100.4786182466593,7.282544909647098,2.127540235958936,3.4386498487244497,4.989020455870753,3.9833015591095364,6.5631386931756825,3.0,1.0,8.353858632981634,3.0,6.690820293158815,8.134538464813197,715.7009622751257,826.0963253108924,3.0,4.492338867859316,9.50258926352222,9.274890379592556,5.549382375356634,9.800849982504669,4.668177809466362,3.0006303176823446,2.7823538627060724,6.705864621355634,962.5490140191687,5.670614710064615,-0.08795905098117711,-0.9949344438163292,-0.31090667207257267,1.7180999962398222,-2.9858225341099236,0.30741076649402355,-0.06300501583677695,0.9907617345678559,-0.1812198263054794,0.16307020793270105,metalcore,metalcore,Cabal,underground,guitar,clean,groove,chugging,modern,youtube,alt_fashion,vans,both,light,medium,speakers,gym,medium,sci_fi,content_creator,purple,spiritual,abstract,posters,glitch,festival,casual,playlists,2000s,film,,high,mid,intense,active,D,W,W,Y,X,X,Y,Z,W,Y,X
